Job,Company,City,Salary,Average_salary,Remote,Skills,More_info
Senior Data Science & Business Analyst,Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"Python, SQL, ",https://justjoin.it/offers/wakacje-pl-senior-data-science-business-analyst-gdansk-data
Data Science Team Leader (Obszar Marketingu),Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"Machine Learning, Python, ",https://justjoin.it/offers/wakacje-pl-data-science-team-leader-obszar-marketingu--gdansk-data
Experienced Data Warehouse Engineer,Future Mind,Warszawa,18 000 - 24 000 pln,21000.0,Fully remote,"SQL, Cloud Data Warehouse, Data modeling, ",https://justjoin.it/offers/future-mind-experienced-data-warehouse-engineer-warszawa-data
Experienced Data Engineer (Databricks),Future Mind,Warszawa,18 000 - 24 000 pln,21000.0,Fully remote,"Python, Databricks, PySpark, ",https://justjoin.it/offers/future-mind-experienced-data-engineer-databricks--warszawa-data
"AVP, FC Detection & DE (Senior Data Analyst)",HSBC Service Delivery,Kraków,15 000 - 20 000 pln,17500.0,not fully remote,"Data, SQL, ",https://justjoin.it/offers/hsbc-service-delivery-avp-fc-detection-de-senior-data-analyst--krakow-data
Data DevOps,PKO Bank Polski,Warszawa,Undisclosed Salary,Not known,not fully remote,"Oracle, ETL, ",https://justjoin.it/offers/pko-bank-polski-data-devops-warszawa-data
Database Developer,NeoGames,Kraków,Undisclosed Salary,Not known,not fully remote,"T-SQL, OLTP, ",https://justjoin.it/offers/neogames-database-developer-krakow-data
Senior Data Engineer (ETL + Python + AWS),1dea,Warszawa,27 720 - 31 080 pln,29400.0,Fully remote,"ETL, SQL, Python, ",https://justjoin.it/offers/1dea-senior-data-engineer-etl-python-aws--warszawa-data
ETL/IPC Developer,7N,Warszawa,21 840 - 24 360 pln,23100.0,Fully remote,"ETL, Informatica Powercenter, SQL, ",https://justjoin.it/offers/7n-etl-ipc-developer-warszawa-data
Senior BI Solutions Consultant (Microsoft Fabric),APN Promise S.A.,Warszawa,18 000 - 28 000 pln,23000.0,not fully remote,"ETL, Power BI, ",https://justjoin.it/offers/apn-promise-s-a--senior-bi-solutions-consultant-microsoft-fabric--warszawa-data
Kontroler ds. Automatyzacji Procesów Biznesowych,Adamed,Pabianice,Undisclosed Salary,Not known,Fully remote,"RPA, Webcon, ",https://justjoin.it/offers/adamed-kontroler-ds-automatyzacji-procesow-biznesowych-pabianice-data
Specjalista ds. Automatyzacji Procesów Biznesowych,Adamed,Pabianice,Undisclosed Salary,Not known,Fully remote,"RPA, MS SQL, Webcon, ",https://justjoin.it/offers/adamed-specjalista-ds-automatyzacji-procesow-biznesowych-pabianice-data
Senior MLOPS Engineer,BCF Software Sp. z o.o.,Wroc³aw,Undisclosed Salary,Not known,not fully remote,"AI, MLOps, ",https://justjoin.it/offers/bcf-software-sp-z-o-o--senior-mlops-engineer-wroc-aw-data
Big Data Analyst,InPost,Warszawa,Undisclosed Salary,Not known,Fully remote,"PySpark, Python, SQL, ",https://justjoin.it/offers/inpost-big-data-analyst-warszawa-data
Architekt Danych,BEST S.A.,Gdynia,Undisclosed Salary,Not known,Fully remote,"MS SQL, PostgreSQL, MongoDB, ",https://justjoin.it/offers/best-s-a--architekt-danych-gdynia-data
Tech Lead - Data Engineering,Stonex Poland,Kraków,Undisclosed Salary,Not known,not fully remote,"Data Management, Java, ",https://justjoin.it/offers/stonex-poland-tech-lead---data-engineering-krakow-data
AI Applications Engineer in Data&AI (She/He/They),Accenture,Warszawa,Undisclosed Salary,Not known,not fully remote,"ML, Data, ",https://justjoin.it/offers/accenture-ai-applications-engineer-in-data-ai-she-he-they--warszawa-data
Data Scientist - Location Intelligence,Allegro,Poznañ,Undisclosed Salary,Not known,not fully remote,"Data Scientist, Data analysis, ",https://justjoin.it/offers/allegro-data-scientist---location-intelligence-poznan-data
Senior Data Science & Business Analyst,Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"Python, SQL, ",https://justjoin.it/offers/wakacje-pl-senior-data-science-business-analyst-gdansk-data
Data Science Team Leader (Obszar Marketingu),Wakacje.pl,Gdañsk,Undisclosed Salary,Not known,not fully remote,"SQL, Python, ",https://justjoin.it/offers/wakacje-pl-data-science-team-leader-obszar-marketingu--gdansk-data
Experienced Data Warehouse Engineer,Future Mind,Warszawa,18 000 - 24 000 pln,21000.0,Fully remote,"SQL, Data modeling, Cloud Data Warehouse, ",https://justjoin.it/offers/future-mind-experienced-data-warehouse-engineer-warszawa-data
Experienced Data Engineer (Databricks),Future Mind,Warszawa,18 000 - 24 000 pln,21000.0,Fully remote,"Databricks, Python, PySpark, ",https://justjoin.it/offers/future-mind-experienced-data-engineer-databricks--warszawa-data
"AVP, FC Detection & DE (Senior Data Analyst)",HSBC Service Delivery,Kraków,15 000 - 20 000 pln,17500.0,not fully remote,"Hadoop, SQL, ",https://justjoin.it/offers/hsbc-service-delivery-avp-fc-detection-de-senior-data-analyst--krakow-data
Data DevOps,PKO Bank Polski,Warszawa,Undisclosed Salary,Not known,not fully remote,"Oracle, ETL, ",https://justjoin.it/offers/pko-bank-polski-data-devops-warszawa-data
Database Developer,NeoGames,Kraków,Undisclosed Salary,Not known,not fully remote,"OLTP, MsSQL, ",https://justjoin.it/offers/neogames-database-developer-krakow-data
Senior Data Engineer (ETL + Python + AWS),1dea,Warszawa,27 720 - 31 080 pln,29400.0,Fully remote,"Python, ETL, SQL, ",https://justjoin.it/offers/1dea-senior-data-engineer-etl-python-aws--warszawa-data
ETL/IPC Developer,7N,Warszawa,21 840 - 24 360 pln,23100.0,Fully remote,"ETL, SQL, Informatica Powercenter, ",https://justjoin.it/offers/7n-etl-ipc-developer-warszawa-data
Senior Data Engineer,STX Next,Poznañ,22 400 - 28 800 pln,25600.0,Fully remote,"Python, NoSQL, SQL, ",https://justjoin.it/offers/stx-next-senior-data-engineer-poznan-data
Data Privacy Manager,HSBC Service Delivery,Kraków,Undisclosed Salary,Not known,not fully remote,"Data, English, ",https://justjoin.it/offers/hsbc-service-delivery-data-privacy-manager-krakow-data-f57900cf
Implementation Specialist (SQL),Suntech,Warszawa,Undisclosed Salary,Not known,not fully remote,"Python, Microsoft Excel, ",https://justjoin.it/offers/suntech-oss-implementation-specialist-sql--warszawa-data
Senior Data Engineer,Limango Polska,Wroc³aw,18 500 - 24 000 pln,21250.0,Fully remote,"PySpark, Python, SQL, ",https://justjoin.it/offers/limango-polska-senior-data-engineer-wroc-aw-data-8dc8068c
Data Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"GBQ, Oracle SQL, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-deebfede
Programista PL/SQL,PSI Polska Sp.z.o.o.,Poznañ,Undisclosed Salary,Not known,not fully remote,"English, Oracle, ",https://justjoin.it/offers/psi-polska-sp-z-o-o--programista-pl-sql-poznan-data
Administrator MS SQL,CCC S.A.,Wroc³aw,Undisclosed Salary,Not known,not fully remote,"Microsoft SQL, Business Intelligence, ",https://justjoin.it/offers/ccc-s-a--administrator-ms-sql-wroclaw-data
Data Analyst,Silky Coders,Gdañsk,Undisclosed Salary,Not known,not fully remote,"SQL, PowerBi, ",https://justjoin.it/offers/silky-coders-data-analyst-gdansk-data-fdd916f4
Senior Data Engineer,STX Next,Poznañ,22 400 - 28 800 pln,25600.0,Fully remote,"Python, SQL, ETL, ",https://justjoin.it/offers/stx-next-senior-data-engineer-poznan-data
Data Privacy Manager,HSBC Service Delivery,Kraków,Undisclosed Salary,Not known,not fully remote,"Data Privacy Officers, English, ",https://justjoin.it/offers/hsbc-service-delivery-data-privacy-manager-krakow-data-f57900cf
Implementation Specialist (SQL),Suntech,Warszawa,Undisclosed Salary,Not known,not fully remote,"Microsoft Excel, Python, ",https://justjoin.it/offers/suntech-oss-implementation-specialist-sql--warszawa-data
Senior Data Engineer,Limango Polska,Wroc³aw,18 500 - 24 000 pln,21250.0,Fully remote,"PySpark, SQL, Python, ",https://justjoin.it/offers/limango-polska-senior-data-engineer-wroc-aw-data-8dc8068c
Data Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"PySpark, ETL, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-deebfede
Programista PL/SQL,PSI Polska Sp.z.o.o.,Poznañ,Undisclosed Salary,Not known,not fully remote,"Oracle, English, ",https://justjoin.it/offers/psi-polska-sp-z-o-o--programista-pl-sql-poznan-data
Administrator MS SQL,CCC S.A.,Wroc³aw,Undisclosed Salary,Not known,not fully remote,"Microsoft SQL, MS SQL, ",https://justjoin.it/offers/ccc-s-a--administrator-ms-sql-wroclaw-data
Data Analyst,Silky Coders,Gdañsk,Undisclosed Salary,Not known,not fully remote,"SQL, PowerBi, ",https://justjoin.it/offers/silky-coders-data-analyst-gdansk-data-fdd916f4
Senior Data Engineer,STX Next,Poznañ,22 400 - 28 800 pln,25600.0,Fully remote,"Python, SQL, ETL, ",https://justjoin.it/offers/stx-next-senior-data-engineer-poznan-data
Data Privacy Manager,HSBC Service Delivery,Kraków,Undisclosed Salary,Not known,not fully remote,"Data Privacy Officers, English, ",https://justjoin.it/offers/hsbc-service-delivery-data-privacy-manager-krakow-data-f57900cf
Implementation Specialist (SQL),Suntech,Warszawa,Undisclosed Salary,Not known,not fully remote,"Microsoft Excel, Python, ",https://justjoin.it/offers/suntech-oss-implementation-specialist-sql--warszawa-data
Senior Data Engineer,Limango Polska,Wroc³aw,18 500 - 24 000 pln,21250.0,Fully remote,"PySpark, SQL, Python, ",https://justjoin.it/offers/limango-polska-senior-data-engineer-wroc-aw-data-8dc8068c
Data Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"PySpark, ETL, ",https://justjoin.it/offers/payback-data-engineer-warszawa-data-deebfede
Programista PL/SQL,PSI Polska Sp.z.o.o.,Poznañ,Undisclosed Salary,Not known,not fully remote,"Oracle, English, ",https://justjoin.it/offers/psi-polska-sp-z-o-o--programista-pl-sql-poznan-data
Administrator MS SQL,CCC S.A.,Wroc³aw,Undisclosed Salary,Not known,not fully remote,"Microsoft SQL, MS SQL, ",https://justjoin.it/offers/ccc-s-a--administrator-ms-sql-wroclaw-data
Data Analyst,Silky Coders,GdaÅsk,Undisclosed Salary,Not known,not fully remote,"SQL, PowerBi, ",https://justjoin.it/offers/silky-coders-data-analyst-gdansk-data-fdd916f4
